2026 NFL Schedule with Kickoff Times:

Week 1:
  Commanders @ Jaguars                 1:00 PM ET
  Eagles @ Giants                      1:00 PM ET
  Chiefs @ Rams                        8:15 PM ET (Monday Night Football)
  Vikings @ Patriots                   1:00 PM ET
  Seahawks @ Cardinals                 4:05 PM ET
  49ers @ Cowboys                      8:15 PM ET (Thursday Night Football)
  Titans @ Colts                       1:00 PM ET
  Dolphins @ Bills                     1:00 PM ET
  Buccaneers @ Bears                   8:20 PM ET (Sunday Night Football)
  Broncos @ Raiders                    4:05 PM ET
  Ravens @ Panthers                    4:25 PM ET
  Bye: Chargers, Steelers

Week 10:
  Bears @ Packers                      8:15 PM ET (Monday Night Football)
  Colts @ Chiefs                       1:00 PM ET
  Ravens @ Steelers                    1:00 PM ET
  Chargers @ Buccaneers                4:25 PM ET
  Jaguars @ Titans                     1:00 PM ET
  Patriots @ Lions                     9:30 AM ET (Munich, Germany)
  Dolphins @ Vikings                   1:00 PM ET
  Cardinals @ 49ers                    4:05 PM ET
  Raiders @ Saints                     4:05 PM ET
  Bills @ Jets                         1:00 PM ET
  Commanders @ Giants                  8:15 PM ET (Thursday Night Football)
  Rams @ Broncos                       4:25 PM ET
  Browns @ Bengals                     1:00 PM ET
  Cowboys @ Seahawks                   8:20 PM ET (Sunday Night Football)
  Bye: Eagles, Falcons, Panthers, Texans

Week 11:
  Bills @ Dolphins                     1:00 PM ET
  Lions @ Cardinals                    4:25 PM ET
  Chiefs @ Raiders                     4:05 PM ET
  Saints @ Bears                       1:00 PM ET
  Falcons @ Browns                     8:15 PM ET (Thursday Night Football)
  Jets @ Chargers                      8:15 PM ET (Monday Night Football)
  Jaguars @ Ravens                     1:00 PM ET
  Cowboys @ Texans                     1:00 PM ET
  Giants @ Eagles                      1:00 PM ET
  Bengals @ Commanders                 1:00 PM ET
  Vikings @ 49ers                      8:15 PM ET (Sunday Night Football - Mexico City, Mexico)
  Steelers @ Patriots                  4:25 PM ET
  Broncos @ Panthers                   4:05 PM ET
  Bye: Buccaneers, Colts, Packers, Rams, Seahawks, Titans

Week 12:
  Bears @ Lions                        12:30 PM ET (Thanksgiving)
  Eagles @ Cowboys                     4:30 PM ET (Thanksgiving)
  Packers @ Rams                       8:15 PM ET (Wednesday - Thanksgiving Eve)
  Commanders @ Vikings                 4:25 PM ET
  Chargers @ Seahawks                  4:05 PM ET
  Bengals @ Panthers                   8:20 PM ET (Sunday Night Football)
  Colts @ Texans                       1:00 PM ET
  Titans @ Jaguars                     1:00 PM ET
  Chiefs @ Bills                       8:20 PM ET (Thanksgiving Night Football)
  Saints @ Giants                      8:15 PM ET (Monday Night Football)
  Broncos @ Steelers                   3:00 PM ET (Black Friday)
  Ravens @ Browns                      1:00 PM ET
  Raiders @ Jets                       4:05 PM ET
  Falcons @ Buccaneers                 4:25 PM ET
  Bye: 49ers, Cardinals, Dolphins, Patriots

Week 13:
  Cardinals @ Chargers                 4:05 PM ET
  Texans @ Steelers                    8:20 PM ET (Sunday Night Football)
  Rams @ Raiders                       4:05 PM ET
  Patriots @ Bills                     4:25 PM ET
  Titans @ Bengals                     1:00 PM ET
  Buccaneers @ Ravens                  8:15 PM ET (Thursday Night Football)
  Jaguars @ Broncos                    4:25 PM ET
  Jets @ Bears                         1:00 PM ET
  Panthers @ Vikings                   8:15 PM ET (Monday Night Football)
  Lions @ Falcons                      1:00 PM ET
  Packers @ Saints                     1:00 PM ET
  Cowboys @ Commanders                 1:00 PM ET
  Seahawks @ Eagles                    8:15 PM ET
  49ers @ Giants                       1:00 PM ET
  Dolphins @ Colts                     1:00 PM ET
  Bye: Browns, Chiefs

Week 14:
  Patriots @ Chiefs                    8:15 PM ET (Thursday Night Football)
  Texans @ Browns                      1:00 PM ET
  Bills @ Rams                         4:25 PM ET
  Giants @ Colts                       1:00 PM ET
  Commanders @ Titans                  1:00 PM ET
